station_id,longitude,latitude,time,avrcur
a2,3.119722,51.36166,2023-11-26T07:00:00Z,0.44
a2,3.119722,51.36166,2023-11-26T07:10:00Z,0.42
a2,3.119722,51.36166,2023-11-26T07:20:00Z,0.4
a2,3.119722,51.36166,2023-11-26T07:30:00Z,0.38
a2,3.119722,51.36166,2023-11-26T07:40:00Z,0.35
a2,3.119722,51.36166,2023-11-26T07:50:00Z,0.33
a2,3.119722,51.36166,2023-11-26T08:00:00Z,0.3
a2,3.119722,51.36166,2023-11-26T08:10:00Z,0.27
a2,3.119722,51.36166,2023-11-26T08:20:00Z,0.24
a2,3.119722,51.36166,2023-11-26T08:30:00Z,0.21
a2,3.119722,51.36166,2023-11-26T08:40:00Z,0.18
a2,3.119722,51.36166,2023-11-26T08:50:00Z,0.15
a2,3.119722,51.36166,2023-11-26T09:00:00Z,0.13
a2,3.119722,51.36166,2023-11-26T09:10:00Z,0.12
a2,3.119722,51.36166,2023-11-26T09:20:00Z,0.12
a2,3.119722,51.36166,2023-11-26T09:30:00Z,0.16
a2,3.119722,51.36166,2023-11-26T09:40:00Z,0.21
a2,3.119722,51.36166,2023-11-26T09:50:00Z,0.29
a2,3.119722,51.36166,2023-11-26T10:00:00Z,0.37
a2,3.119722,51.36166,2023-11-26T10:10:00Z,0.47
a2,3.119722,51.36166,2023-11-26T10:20:00Z,0.58
a2,3.119722,51.36166,2023-11-26T10:30:00Z,0.68
a2,3.119722,51.36166,2023-11-26T10:40:00Z,0.76
a2,3.119722,51.36166,2023-11-26T10:50:00Z,0.83
a2,3.119722,51.36166,2023-11-26T11:00:00Z,0.88
a2,3.119722,51.36166,2023-11-26T11:10:00Z,0.9
a2,3.119722,51.36166,2023-11-26T11:20:00Z,0.9
a2,3.119722,51.36166,2023-11-26T11:30:00Z,0.88
a2,3.119722,51.36166,2023-11-26T11:40:00Z,0.85
a2,3.119722,51.36166,2023-11-26T11:50:00Z,0.81
a2,3.119722,51.36166,2023-11-26T12:00:00Z,0.76
a2,3.119722,51.36166,2023-11-26T12:10:00Z,0.71
a2,3.119722,51.36166,2023-11-26T12:20:00Z,0.66
a2,3.119722,51.36166,2023-11-26T12:30:00Z,0.61
a2,3.119722,51.36166,2023-11-26T12:40:00Z,0.56
a2,3.119722,51.36166,2023-11-26T12:50:00Z,0.51
a2,3.119722,51.36166,2023-11-26T13:00:00Z,0.47
a2,3.119722,51.36166,2023-11-26T13:10:00Z,0.42
a2,3.119722,51.36166,2023-11-26T13:20:00Z,0.37
a2,3.119722,51.36166,2023-11-26T13:30:00Z,0.32
a2,3.119722,51.36166,2023-11-26T13:40:00Z,0.27
a2,3.119722,51.36166,2023-11-26T13:50:00Z,0.22
a2,3.119722,51.36166,2023-11-26T14:00:00Z,0.18
a2,3.119722,51.36166,2023-11-26T14:10:00Z,0.15
a2,3.119722,51.36166,2023-11-26T14:20:00Z,0.14
a2,3.119722,51.36166,2023-11-26T14:30:00Z,0.17
a2,3.119722,51.36166,2023-11-26T14:40:00Z,0.22
a2,3.119722,51.36166,2023-11-26T14:50:00Z,0.28
a2,3.119722,51.36166,2023-11-26T15:00:00Z,0.34
a2,3.119722,51.36166,2023-11-26T15:10:00Z,0.41
a2,3.119722,51.36166,2023-11-26T15:20:00Z,0.47
a2,3.119722,51.36166,2023-11-26T15:30:00Z,0.53
a2,3.119722,51.36166,2023-11-26T15:40:00Z,0.58
a2,3.119722,51.36166,2023-11-26T15:50:00Z,0.62
a2,3.119722,51.36166,2023-11-26T16:00:00Z,0.65
a2,3.119722,51.36166,2023-11-26T16:10:00Z,0.67
a2,3.119722,51.36166,2023-11-26T16:20:00Z,0.68
a2,3.119722,51.36166,2023-11-26T16:30:00Z,0.68
a2,3.119722,51.36166,2023-11-26T16:40:00Z,0.68
a2,3.119722,51.36166,2023-11-26T16:50:00Z,0.67
a2,3.119722,51.36166,2023-11-26T17:00:00Z,0.66
a2,3.119722,51.36166,2023-11-26T17:10:00Z,0.65
a2,3.119722,51.36166,2023-11-26T17:20:00Z,0.64
a2,3.119722,51.36166,2023-11-26T17:30:00Z,0.62
a2,3.119722,51.36166,2023-11-26T17:40:00Z,0.61
a2,3.119722,51.36166,2023-11-26T17:50:00Z,0.59
a2,3.119722,51.36166,2023-11-26T18:00:00Z,0.57
a2,3.119722,51.36166,2023-11-26T18:10:00Z,0.56
